BOROUGH,NEIGHBORHOOD,BUILDING_CATEGORY,ADDRESS,ZIP_CODE,LAND_SQR_FT,GROSS_SQR_FT,YEAR_BUILT,PRICE,long,lat
BROOKLYN,CANARSIE                 ,TWO FAMILY HOMES,1065 EAST 104TH STREET                   ,11236,2000,1635,1955,470000,-73.89203643798828,40.64427185058594
QUEENS,ASTORIA                  ,TWO FAMILY HOMES,21-13 43RD STREET                        ,11105,1800,1816,1965,515000,-73.90187072753906,40.772640228271484
QUEENS,FLUSHING-NORTH,THREE FAMILY HOMES,45-33 160TH STREET,11358,3000,3040,1972,1640000,-73.80467987060547,40.766761779785156
STATEN ISLAND,ANNADALE                 ,ONE FAMILY HOME,153 NORTH PINE TERRACE                   ,10312,7840,1912,1965,540000,-74.17955017089844,40.5394287109375
STATEN ISLAND,OAKWOOD-BEACH,ONE FAMILY HOME,342 FAIRBANKS AVENUE,10306,2300,1152,1970,560000,-74.12389373779297,40.556800842285156
BROOKLYN,EAST NEW YORK            ,TWO FAMILY HOMES,985 GLENMORE AVENUE                      ,11208,1716,2193,2006,428784,-74.11316680908203,40.62331771850586
QUEENS,QUEENS VILLAGE,ONE FAMILY HOME,92-63 218TH   STREET,11428,4000,1469,1945,448535,-73.7396011352539,40.721981048583984
STATEN ISLAND,ELTINGVILLE              ,ONE FAMILY HOME,40 LORING AVENUE                         ,10312,2275,1840,1975,425000,-74.17977905273438,40.55453872680664
BROOKLYN,BROWNSVILLE              ,ONE FAMILY HOME,733 SACKMAN STREET                       ,11212,3000,1120,1986,360000,-73.90206146240234,40.65943908691406
STATEN ISLAND,DONGAN HILLS-COLONY      ,ONE FAMILY HOME,15 CHAPIN AVENUE                         ,10304,6615,3648,1980,650000,-74.09944915771484,40.595970153808594
QUEENS,FAR ROCKAWAY,TWO FAMILY HOMES,12-67 WATERVIEW STREET,11691,1910,1683,1960,460000,-73.76898193359375,40.60675048828125
STATEN ISLAND,WILLOWBROOK              ,ONE FAMILY HOME,1165 WILLOWBROOK ROAD                    ,10314,3500,2314,1999,660000,-74.13400268554688,40.60369873046875
STATEN ISLAND,NEW SPRINGVILLE          ,TWO FAMILY HOMES,68 BANGOR STREET                         ,10314,4100,2284,1975,605000,-74.15393829345703,40.58522033691406
QUEENS,HOWARD BEACH             ,ONE FAMILY HOME,15837 90TH STREET                        ,11414,4000,2225,1950,535000,-73.84284973144531,40.65983963012695
QUEENS,FLUSHING-NORTH           ,ONE FAMILY HOME,45-42 169TH   STREET                     ,11358,2600,1188,1951,520000,-73.79843139648438,40.7546501159668
BROOKLYN,SHEEPSHEAD BAY           ,ONE FAMILY HOME,2562 EAST 14TH STREET                    ,11235,1850,1944,1970,679000,-73.95565032958984,40.588409423828125
STATEN ISLAND,WILLOWBROOK              ,ONE FAMILY HOME,47 FILLMORE AVENUE                       ,10314,2000,1320,2004,405600,-74.13397979736328,40.60289001464844
QUEENS,JACKSON HEIGHTS          ,ONE FAMILY HOME,30-63 86TH   STREET                      ,11369,1800,1807,1950,680000,-73.88207244873047,40.759891510009766
QUEENS,FLUSHING-NORTH           ,ONE FAMILY HOME,142-34 60TH AVENUE                       ,11355,2200,966,1950,590000,-73.82392883300781,40.742618560791016
BROOKLYN,BEDFORD STUYVESANT       ,THREE FAMILY HOMES,773 LEXINGTON                            ,11221,3333,5280,2004,750000,-73.92996978759766,40.690311431884766
QUEENS,SPRINGFIELD GARDENS      ,ONE FAMILY HOME,120-41 197TH   STREET                    ,11412,3800,1665,1945,390000,-73.75189971923828,40.688499450683594
BROOKLYN,CANARSIE,TWO FAMILY HOMES,8604 AVENUE M,11236,2000,1540,1955,550000,-73.9012680053711,40.631771087646484
QUEENS,BAYSIDE                  ,ONE FAMILY HOME,204-27 47TH   ROAD                       ,11361,5000,2750,1950,475000,-73.77568054199219,40.75428009033203
QUEENS,FRESH MEADOWS            ,ONE FAMILY HOME,73-36 183RD   STREET                     ,11366,4000,1984,1950,640000,-73.78717041015625,40.73054122924805
QUEENS,CORONA                   ,ONE FAMILY HOME,3530 POWER ROAD                          ,11368,2500,6295,2004,999000,-74.22915649414062,40.51850128173828
BRONX,WILLIAMSBRIDGE,THREE FAMILY HOMES,678 EAST 233 STREET,10466,1297,3348,2006,770000,-74.22931671142578,40.51860046386719
QUEENS,LAURELTON                ,ONE FAMILY HOME,130-62 224 STREET                        ,11413,3700,2036,1950,365000,-73.73477172851562,40.68498992919922
BROOKLYN,WILLIAMSBURG-EAST        ,TWO FAMILY HOMES,107 MESEROLE STREET                      ,11206,1250,2900,2012,1564275,-73.94544982910156,40.70798873901367
STATEN ISLAND,ANNADALE                 ,TWO FAMILY HOMES,4678 HYLAN BOULEVARD                     ,10312,5742,1906,1982,585000,-74.16219329833984,40.52872085571289
STATEN ISLAND,NEW DORP-HEIGHTS         ,TWO FAMILY HOMES,59 WOLVERINE STREET                      ,10306,4000,2200,1970,570000,-74.12992095947266,40.56739044189453
