BOROUGH,NEIGHBORHOOD,BUILDING_CATEGORY,ADDRESS,ZIP_CODE,LAND_SQR_FT,GROSS_SQR_FT,YEAR_BUILT,PRICE,long,lat
BROOKLYN,WILLIAMSBURG-NORTH,ONE FAMILY HOME,83 GRAND STREET,11249,1331,4032,2017,4450000,-73.96419525146484,40.71574020385742
BROOKLYN,PARK SLOPE,ONE FAMILY HOME,566 CARROLL STREET,11215,1143,3007,2015,3325000,-73.98342895507812,40.6757698059082
BROOKLYN,BROOKLYN HEIGHTS         ,ONE FAMILY HOME,5 COLUMBIA PLACE                         ,11201,1241,3000,2003,3162500,-73.99830627441406,40.6934814453125
BROOKLYN,FLATBUSH-CENTRAL         ,ONE FAMILY HOME,1216 ALBEMARLE ROAD                      ,11218,4000,2263,1960,2625000,-73.96768188476562,40.64628982543945
BROOKLYN,PARK SLOPE,15 CONDOS - 2-10 UNIT RESIDENTIAL,701 UNION STREET,11215,2375,1641,2013,2421500,-73.98155975341797,40.676979064941406
BROOKLYN,OCEAN PARKWAY-NORTH      ,ONE FAMILY HOME,1515 EAST 7TH   STREET                   ,11230,9640,6030,2009,2350000,-73.96694946289062,40.61391067504883
BROOKLYN,CLINTON HILL             ,TWO FAMILY HOMES,49 IRVING PLACE                          ,11238,1600,3922,2012,2340956,-73.95977783203125,40.683589935302734
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,ONE FAMILY HOME,90 MAPLE STREET,11225,5333,2434,1950,2200000,-73.95774841308594,40.66025161743164
BROOKLYN,MIDWOOD,ONE FAMILY HOME,1485 EAST 21ST   STREET,11210,7000,1916,1950,2060000,-74.11316680908203,40.62331771850586
BROOKLYN,COBBLE HILL,15 CONDOS - 2-10 UNIT RESIDENTIAL,325 HENRY STREET,11201,7785,1250,2016,2031408,-73.99623107910156,40.69038009643555
BROOKLYN,CARROLL GARDENS          ,TWO FAMILY HOMES,112 BUTLER STREET                        ,11231,2260,3062,2005,1975000,-73.99049377441406,40.68328094482422
BROOKLYN,BOROUGH PARK,THREE FAMILY HOMES,1359 52ND   STREET,11219,2304,4278,1965,1900500,-74.22915649414062,40.51850128173828
BROOKLYN,MILL BASIN               ,ONE FAMILY HOME,2628 NATIONAL DRIVE                      ,11234,3976,3710,1965,1750000,-73.90204620361328,40.60607147216797
BROOKLYN,OCEAN PARKWAY-NORTH      ,TWO FAMILY HOMES,1463 EAST 8 STREET                       ,11230,4000,5378,2007,1650000,-73.95542907714844,40.6329345703125
BROOKLYN,WILLIAMSBURG-EAST        ,TWO FAMILY HOMES,107 MESEROLE STREET                      ,11206,1250,2900,2012,1564275,-73.94544982910156,40.70798873901367
BROOKLYN,MILL BASIN               ,ONE FAMILY HOME,2662 NATIONAL DRIVE                      ,11234,4800,3680,1997,1500000,-73.90215301513672,40.607051849365234
BROOKLYN,BUSHWICK                 ,THREE FAMILY HOMES,205 CORNELIA STREET                      ,11221,1800,3960,2012,1499000,-73.9134521484375,40.69266128540039
BROOKLYN,BEDFORD STUYVESANT       ,TWO FAMILY HOMES,733 GREENE AVENUE                        ,11221,1600,3332,2014,1374637,-73.93904113769531,40.6899299621582
BROOKLYN,BOROUGH PARK,THREE FAMILY HOMES,1309 64TH STREET,11219,2034,3032,1970,1350000,-74.00048828125,40.62646865844727
BROOKLYN,GRAVESEND,THREE FAMILY HOMES,222 BAY 40TH   STREET,11214,2063,2376,1965,1338000,-73.99120330810547,40.5931282043457
BROOKLYN,MANHATTAN BEACH          ,ONE FAMILY HOME,138-40 LANGHAM STREET                    ,11235,6000,2186,1982,1300000,-73.94123077392578,40.58029556274414
BROOKLYN,FORT GREENE              ,THREE FAMILY HOMES,119 CARLTON AVE                          ,11205,2500,5000,2002,1300000,-73.97283935546875,40.69416046142578
BROOKLYN,OCEAN HILL,TWO FAMILY HOMES,16 BANCROFT PLACE,11233,2070,2640,2002,1260000,-73.92028045654297,40.677490234375
BROOKLYN,MILL BASIN               ,TWO FAMILY HOMES,2308 NATIONAL DRIVE                      ,11234,3240,2124,1970,1250500,-73.91397094726562,40.60478973388672
BROOKLYN,FLATBUSH-NORTH,THREE FAMILY HOMES,85 EAST 46TH STREET,11203,2000,3600,2006,1250000,-73.93486785888672,40.659969329833984
BROOKLYN,SHEEPSHEAD BAY           ,THREE FAMILY HOMES,2468 EAST 29TH   STREET                  ,11235,2200,4576,2014,1221900,-73.94164276123047,40.592041015625
BROOKLYN,BENSONHURST,THREE FAMILY HOMES,1766 78TH   STREET,11214,2000,2615,1950,1170000,-73.99864959716797,40.61199951171875
BROOKLYN,MILL BASIN               ,ONE FAMILY HOME,22 HARBOR DR                             ,11234,6231,4031,2005,1145531,-73.91481018066406,40.609989166259766
BROOKLYN,DYKER HEIGHTS            ,TWO FAMILY HOMES,1324 66TH   STREET                       ,11219,4000,2244,1965,1135000,-74.00157928466797,40.62485885620117
BROOKLYN,MILL BASIN,TWO FAMILY HOMES,2290 NATIONAL DRIVE,11234,3240,2124,1970,1090000,-73.91435241699219,40.60512161254883
BROOKLYN,OCEAN PARKWAY-SOUTH      ,ONE FAMILY HOME,316 GRAVESEND NECK ROAD                  ,11223,7055,3120,2011,1025000,-73.96766662597656,40.594539642333984
BROOKLYN,BEDFORD STUYVESANT,THREE FAMILY HOMES,972 GREENE AVENUE,11221,2897,5460,2005,1011111,-73.92887115478516,40.69070053100586
BROOKLYN,MILL BASIN               ,ONE FAMILY HOME,2418 EAST 65TH STREET                    ,11234,4600,1860,1965,999000,-73.90782165527344,40.611358642578125
BROOKLYN,SUNSET PARK              ,THREE FAMILY HOMES,636 55TH   STREET                        ,11220,1945,4688,1945,999000,-74.01017761230469,40.64031982421875
BROOKLYN,MILL BASIN               ,ONE FAMILY HOME,50 WHITMAN DRIVE                         ,11234,5600,2880,1965,995000,-73.90492248535156,40.61199951171875
BROOKLYN,BAY RIDGE                ,THREE FAMILY HOMES,172 BATTERY AVENUE                       ,11209,4033,2783,1980,995000,-74.02526092529297,40.61528015136719
BROOKLYN,BEDFORD STUYVESANT,15 CONDOS - 2-10 UNIT RESIDENTIAL,130 SKILLMAN STREET,11205,7199,1436,2009,992793,-73.95716094970703,40.69422149658203
BROOKLYN,CROWN HEIGHTS            ,THREE FAMILY HOMES,1922 UNION STREET                        ,11233,1839,3264,2007,991000,-73.9236068725586,40.66722106933594
BROOKLYN,MIDWOOD                  ,ONE FAMILY HOME,2317 OLEAN STREET                        ,11210,5415,7420,2007,985500,-73.95091247558594,40.61526107788086
BROOKLYN,BENSONHURST,TWO FAMILY HOMES,1474 83 STREET,11228,1975,2018,1960,960000,-74.00055694580078,40.62052917480469
BROOKLYN,MIDWOOD                  ,TWO FAMILY HOMES,962 EAST 29TH STREET                     ,11210,4000,3900,1960,940000,-73.94821166992188,40.62751007080078
